Variable,Importance
control_mode,15.450132458317826
ticks,15.209900791267541
avg_wait_current_value,4.592775985904894
junction_phase_code_1,3.908735548086946
junction_phase_code_2,3.8748628000197907
junction_phase_code_3,3.8250993891021183
junction_phase_code_4,3.8250499618941047
throughput_value_delta5,3.6097319706671946
average_speed_value,3.055169657377824
congestion_index_value,3.0505234754184687
throughput_value_moy5,2.587409112622357
ns_demand_share,2.553630888863456
congestion_index_value_moy5,2.5252166565973715
count_cars_moy5,2.5041812919539193
arrival_rate,2.4919147370522228
queue_ew_value_moy5,2.152018130351622
stopped_cars_value_delta5,2.107070562714903
average_speed_value_moy5,2.0789689624225605
queue_ns_value_moy5,1.8552854436499855
mean_queue_value_moy5,1.814742797543694
throughput_value,1.7814107189017956
count_cars,1.7682310088227433
count_cars_delta5,1.738654693491767
total_completed,1.4936649024156972
average_speed_value_delta5,1.2490448774481258
queue_ew_value_delta5,1.2271202046047103
congestion_index_value_delta5,1.2121064886065247
queue_ns_value_delta5,1.1334278935359645
stopped_cars_value_moy5,1.1231941886229266
queue_ew_value,0.9253925439186695
stopped_cars_value,0.8555188146310831
queue_ns_value,0.8447928869296877
mean_queue_value_delta5,0.7257939788209186
mean_queue_value,0.5868947996501325
congestion_level,0.26233137777044163
