Variable,Importance
ticks,0.1449174840807578
control_mode,0.12199764132153983
congestion_index_value,0.09875634291581646
average_speed_value,0.07304201337175813
avg_wait_current_value,0.042828695929801715
count_cars_moy5,0.03609299663423222
stopped_cars_value_delta5,0.032432791486691495
junction_phase_code_4,0.03023937583117713
congestion_index_value_moy5,0.028628904182362837
junction_phase_code_1,0.02749987769883326
throughput_value_moy5,0.026448414890157923
junction_phase_code_2,0.025968739405521232
average_speed_value_delta5,0.024955974914356274
throughput_value_delta5,0.02494351079465575
junction_phase_code_3,0.022798175556468542
count_cars,0.019714066063882162
queue_ew_value_moy5,0.01920324878265594
average_speed_value_moy5,0.018975076851589504
count_cars_delta5,0.018622446405833496
total_completed,0.018505113324227485
queue_ns_value_moy5,0.018196909656854623
stopped_cars_value_moy5,0.017693874027975467
congestion_index_value_delta5,0.01733534678485089
throughput_value,0.014906796611144607
arrival_rate,0.012191569996010143
mean_queue_value_moy5,0.011777582767840867
stopped_cars_value,0.00856739968899088
queue_ns_value,0.008468214260002264
queue_ew_value,0.008136822298676134
queue_ew_value_delta5,0.007808377438981252
ns_demand_share,0.006268165900898284
mean_queue_value,0.004527591732919166
queue_ns_value_delta5,0.003952709996361278
mean_queue_value_delta5,0.003428119455392564
congestion_level,0.0001696289407824412
